既存キャッシュ: 1107件
ホールドアウト 42525レース / 未取得 41418件を取得する
  33000/41418 (成功 33000) 5.2件/秒 残り約27分
  33300/41418 (成功 33300) 5.2件/秒 残り約26分
  33600/41418 (成功 33600) 5.2件/秒 残り約25分
  33900/41418 (成功 33900) 5.2件/秒 残り約24分
  34200/41418 (成功 34200) 5.2件/秒 残り約23分
  34500/41418 (成功 34500) 5.2件/秒 残り約22分
  34800/41418 (成功 34800) 5.2件/秒 残り約21分
  35100/41418 (成功 35100) 5.2件/秒 残り約20分
  35400/41418 (成功 35400) 5.2件/秒 残り約19分
  35700/41418 (成功 35700) 5.2件/秒 残り約18分
  36000/41418 (成功 36000) 5.2件/秒 残り約17分
  36300/41418 (成功 36300) 5.2件/秒 残り約16分
  36600/41418 (成功 36600) 5.2件/秒 残り約15分
  36900/41418 (成功 36900) 5.2件/秒 残り約14分
  37200/41418 (成功 37200) 5.2件/秒 残り約13分
  37500/41418 (成功 37500) 5.2件/秒 残り約13分
  37800/41418 (成功 37800) 5.2件/秒 残り約12分
  38100/41418 (成功 38100) 5.2件/秒 残り約11分
  38400/41418 (成功 38400) 5.2件/秒 残り約10分
  38700/41418 (成功 38700) 5.2件/秒 残り約9分
  39000/41418 (成功 39000) 5.2件/秒 残り約8分
  39300/41418 (成功 39300) 5.2件/秒 残り約7分
  39600/41418 (成功 39600) 5.2件/秒 残り約6分
  39900/41418 (成功 39900) 5.2件/秒 残り約5分
  40200/41418 (成功 40200) 5.2件/秒 残り約4分
  40500/41418 (成功 40500) 5.2件/秒 残り約3分
  40800/41418 (成功 40800) 5.2件/秒 残り約2分
  41100/41418 (成功 41100) 5.2件/秒 残り約1分
  41400/41418 (成功 41400) 5.2件/秒 残り約0分

完了: 41418/41418件を追記した
